2019020101_004	61.91 	28.03 	33.88 	0.00
2018170101_006	54.93 	23.34 	31.59 	0.00
2025040101_017	68.52 	33.25 	35.27 	0.00
2024040101_016	62.52 	29.68 	32.84 	0.00
2016170101_005	44.71 	19.30 	25.41 	0.00
2022130101_004	60.82 	27.02 	33.80 	0.00
2022040101_003	36.86 	21.35 	18.51 	-3.00
2024130101_001	63.53 	28.27 	35.26 	0.00
2025040101_015	65.88 	30.35 	35.53 	0.00
2022040101_010	56.28 	26.33 	29.95 	0.00
2017020101_008	80.75 	35.92 	44.83 	0.00
2025020101_011	74.73 	35.00 	39.73 	0.00
2019140101_002	62.76 	28.45 	34.31 	0.00
2021130101_004	67.93 	31.48 	36.45 	0.00
2018100101_004	59.00 	28.31 	30.69 	0.00
2021030101_024	63.45 	33.82 	29.63 	0.00
2022130101_005	55.70 	26.64 	30.06 	-1.00
2025060101_004	43.23 	19.08 	24.15 	0.00
2024120101_006	70.66 	32.55 	38.11 	0.00
2025040101_006	49.14 	24.03 	25.11 	0.00
2024060101_018	54.86 	24.89 	29.97 	0.00
2025140101_002	72.63 	35.57 	37.06 	0.00
2023030101_005	65.31 	27.72 	37.59 	0.00
2024090101_004	54.81 	27.64 	27.17 	0.00
2022040101_014	62.21 	30.57 	32.64 	-1.00
2024090101_006	73.72 	33.25 	40.47 	0.00
2016030101_001	57.32 	26.45 	31.87 	-1.00
2025040101_009	57.13 	26.92 	30.21 	0.00
2022040101_016	62.76 	30.14 	33.62 	-1.00
2025200101_002	52.70 	25.01 	28.69 	-1.00
2024130101_005	58.78 	26.83 	31.95 	0.00
2024030101_024	72.88 	33.64 	39.24 	0.00
2024120101_002	63.05 	29.03 	34.02 	0.00
2024040101_015	50.90 	26.70 	26.20 	-2.00
2024030101_013	59.07 	26.38 	33.69 	-1.00
2018170101_004	59.80 	25.55 	34.25 	0.00
2025190101_004	34.77 	17.52 	17.25 	0.00
2016170101_013	50.98 	23.74 	30.24 	-3.00
2019030101_003	48.66 	23.37 	25.29 	0.00
2025060101_003	54.82 	24.79 	30.03 	0.00
2025040101_013	62.68 	29.67 	33.01 	0.00
2024060101_016	50.75 	22.64 	28.11 	0.00
2020040101_003	50.24 	22.94 	27.30 	0.00
2016030101_011	59.27 	27.71 	32.56 	-1.00
2019120101_001	47.92 	23.77 	24.15 	0.00
2025190101_008	50.72 	23.72 	27.00 	0.00
